pl_name,hostname,sy_starnum,sy_planetnum,disc_year,disc_facility,T_orbit,orb_semimajor_AU,R_pl_earths,M_pl_earths,orb_eccentricity,avg_temp,st_spectype,st_teff,st_rad,st_mass,st_met,st_metratio,st_grav_surface,rastr,right_asc,decstr,declination,sy_dist,sy_vmag,sy_kmag,sy_gaiamag,star_id,Fe,O,S,Ca,Mg,C,Si,Ti,planet_letter,T_orbit_right,orb_eccentricity_right,orb_semimajor_AU_right,M_pl_earths_right,R_pl_earths_right,inclination,atm_main_gases,atm_percentages,atm_trace_gases,pl_insolation
11 Com b,11 Com,2,1,2007,Xinglong Station,323.21,1.178,12.2,4914.89849,0.238,,G8 III,4874.0,13.76,2.09,-0.26,[Fe/H],2.45,12h20m42.91s,185.1787793,+17d47m35.71s,17.7932516,93.1846,4.72307,2.282,4.44038,*  11 Com,-0.24,-0.16,0.21,-0.24,-0.21,-0.41,-0.1,-0.28,b,323.21,0.24,1.18,15.46,0.0,0.0,H|He,71|27,H2|He4|N2|C|O2|S|H2O|CO2|CH4|NH4|NH3|SO2,11845.658313053735
11 UMi b,11 UMi,1,1,2009,Thueringer Landessternwarte Tautenburg,516.21997,1.53,12.3,4684.8142,0.08,,K4 III,4213.0,29.79,2.78,-0.02,[Fe/H],1.93,15h17m05.90s,229.2745954,+71d49m26.19s,71.8239428,125.321,5.013,1.939,4.56216,*  11 UMi,0.02,-0.09,1.04,-0.16,0.04,-0.37,0.25,0.12,b,516.22,0.08,1.53,14.74,0.0,0.0,H|He,71|27,H2|He4|N2|C|O2|S|H2O|CO2|CH4|NH4|NH3|SO2,13287.707532023513
14 And b,14 And,1,1,2008,Okayama Astrophysical Observatory,186.76,0.775,13.1,1131.1513,0.0,,K0 III,4888.0,11.55,1.78,-0.21,[Fe/H],2.55,23h31m17.80s,352.82415,+39d14m09.01s,39.2358367,75.4392,5.23133,2.331,4.91781,*  14 And,-0.2,0.0,0.34,-0.17,0.1,-0.2,0.01,-0.07,b,185.84,0.0,0.83,4.8,0.0,0.0,H|He,71|27,H2|He4|N2|C|O2|S|H2O|CO2|CH4|NH4|NH3|SO2,13516.536407333993
14 Her b,14 Her,1,2,2002,W. M. Keck Observatory,1765.0389,2.774,12.6,2559.47216,0.373,,K0 V,5338.0,0.93,0.91,0.405,[Fe/H],4.45,16h10m24.50s,242.6021014,+43d48m58.90s,43.8163621,17.9323,6.61935,4.714,6.383,*  14 Her,0.44,0.24,0.35,0.35,0.48,0.47,0.39,0.46,b,1724.0,0.37,2.82,4.89,0.0,0.0,H|He,71|27,H2|He4|N2|C|O2|S|H2O|CO2|CH4|NH4|NH3|SO2,2185.251442090655
16 Cyg B b,16 Cyg B,3,1,1996,Multiple Observatories,798.5,1.66,13.5,565.7374,0.68,,G3 V,5750.0,1.13,1.08,0.06,[Fe/H],4.36,19h41m51.75s,295.4656422,+50d31m00.57s,50.5168243,21.1397,6.215,4.651,6.06428,*  16 Cyg B,0.09,-0.02,0.03,0.08,0.14,0.07,0.06,0.12,b,798.5,0.68,1.66,1.78,0.0,0.0,H|He,71|27,H2|He4|N2|C|O2|S|H2O|CO2|CH4|NH4|NH3|SO2,3280.28942263572
18 Del b,18 Del,2,1,2008,Okayama Astrophysical Observatory,982.85,2.476,12.5,2926.24614,0.024,,G6 III,4980.0,8.8,2.1,-0.06,[Fe/H],2.87,20h58m25.88s,314.6078375,+10d50m20.90s,10.8391378,76.222,5.51048,3.366,5.27476,*  18 Del,0.05,0.03,0.3,0.16,0.13,-0.17,0.14,0.18,b,993.3,0.08,2.6,10.3,0.0,0.0,H|He,71|27,H2|He4|N2|C|O2|S|H2O|CO2|CH4|NH4|NH3|SO2,6720.846940500012
24 Boo b,24 Boo,1,1,2018,Okayama Astrophysical Observatory,30.33,0.194,13.9,280.64248,0.032,,G3 IV,4816.0,12.19,1.05,-0.78,[Fe/H],2.28,14h28m37.33s,217.1555242,+49d50m40.74s,49.8446488,95.9863,5.59,3.159,5.3339,* g Boo,-0.73,-0.45,0.0,-0.34,-0.23,-0.71,-0.33,-0.3,b,30.35,0.04,0.19,0.91,0.0,0.0,O|N|H2O|S|CO2,12.325738554466614|49.30295421786646|26.204520166796023|1.4325216972015218|10.234265363669401,CH4|NH4|NH3|SO2,27322.813736098236
24 Sex b,24 Sex,1,2,2010,Lick Observatory,452.8,1.333,13.4,632.46,0.09,,K0 IV,5098.0,4.9,1.54,-0.03,[Fe/H],3.5,10h23m28.44s,155.8684866,-00d54m08.64s,-0.9023998,72.0691,6.4535,4.285,6.20374,*  24 Sex,0.07,-0.28,0.22,0.06,0.1,-0.08,0.05,0.07,b,452.8,0.09,1.33,1.99,0.0,0.0,H|He,71|27,H2|He4|N2|C|O2|S|H2O|CO2|CH4|NH4|NH3|SO2,6984.377668772669
24 Sex c,24 Sex,1,2,2010,Lick Observatory,883.0,2.08,13.9,273.32,0.29,,K0 IV,5098.0,4.9,1.54,-0.03,[Fe/H],3.5,10h23m28.44s,155.8684866,-00d54m08.64s,-0.9023998,72.0691,6.4535,4.285,6.20374,*  24 Sex,0.07,-0.28,0.22,0.06,0.1,-0.08,0.05,0.07,c,883.0,0.29,2.08,0.86,0.0,0.0,H|He,71|27,H2|He4|N2|C|O2|S|H2O|CO2|CH4|NH4|NH3|SO2,5552.8726417377675
30 Ari B b,30 Ari B,4,1,2009,Thueringer Landessternwarte Tautenburg,335.10001,0.99,12.3,4392.4106,0.29,,F6 V,6331.0,1.41,1.93,0.19,[Fe/H],4.43,02h36m57.91s,39.2412736,+24d38m52.84s,24.6480103,44.657,7.09209,5.822,6.96085,*  30 Ari B,0.16,0.0,0.05,0.28,0.0,0.0,0.29,0.62,b,345.4,0.18,1.01,6.6,0.0,0.0,H|He,71|27,H2|He4|N2|C|O2|S|H2O|CO2|CH4|NH4|NH3|SO2,5361.8638453932535
4 UMa b,4 UMa,1,1,2006,Thueringer Landessternwarte Tautenburg,270.27,0.877,12.6,2511.48007,0.453,,K1 III,4415.0,18.11,1.23,-0.25,[Fe/H],1.8,08h40m12.67s,130.0528099,+64d19m40.98s,64.3280504,73.4603,4.5801,1.734,4.23773,* pi.02 UMa,-0.13,-0.08,0.53,-0.16,-0.01,-0.25,0.02,-0.1,b,270.27,0.45,0.88,7.9,0.0,0.0,H|He,71|27,H2|He4|N2|C|O2|S|H2O|CO2|CH4|NH4|NH3|SO2,14124.409904554834
42 Dra b,42 Dra,2,1,2008,Thueringer Landessternwarte Tautenburg,479.1,1.19,13.0,1233.13,0.38,,K1.5 III,4200.0,22.03,0.98,-0.46,[Fe/H],1.71,18h25m59.40s,276.4975053,+65d33m48.11s,65.5633652,90.6545,4.8262,2.085,4.43216,*  42 Dra,-0.36,-0.2,0.33,-0.34,-0.17,-0.42,-0.19,-0.3,b,479.1,0.38,1.19,3.88,0.0,0.0,H|He,71|27,H2|He4|N2|C|O2|S|H2O|CO2|CH4|NH4|NH3|SO2,12772.270713306436
47 UMa b,47 UMa,1,3,1996,Lick Observatory,1078.0,2.1,13.2,804.08,0.032,,G0 V,5872.0,1.21,1.06,0.04,[M/H],4.3,10h59m27.54s,164.8647611,+40d25m49.78s,40.4304931,13.7967,5.03352,3.75,4.87837,*  47 UMa,0.06,0.0,-0.04,0.04,0.11,0.09,0.03,0.06,b,1076.6,0.01,2.1,2.45,0.0,0.0,H|He,71|27,H2|He4|N2|C|O2|S|H2O|CO2|CH4|NH4|NH3|SO2,3190.120148656464
47 UMa c,47 UMa,1,3,2001,Lick Observatory,2391.0,3.6,14.2,171.621,0.098,,G1 V,5872.0,1.21,1.06,0.04,[M/H],4.3,10h59m27.54s,164.8647611,+40d25m49.78s,40.4304931,13.7967,5.03352,3.75,4.87837,*  47 UMa,0.06,0.0,-0.04,0.04,0.11,0.09,0.03,0.06,c,2391.0,0.1,3.6,0.54,0.0,0.0,H|He,71|27,H2|He4|N2|C|O2|S|H2O|CO2|CH4|NH4|NH3|SO2,2432.045019230023
47 UMa d,47 UMa,1,3,2009,Lick Observatory,14002.0,11.6,13.5,521.22,0.16,,G0V,5872.0,1.21,1.06,0.04,[M/H],4.3,10h59m27.54s,164.8647611,+40d25m49.78s,40.4304931,13.7967,5.03352,3.75,4.87837,*  47 UMa,0.06,0.0,-0.04,0.04,0.11,0.09,0.03,0.06,d,14000.0,0.16,11.6,1.64,0.0,0.0,H|He,71|27,H2|He4|N2|C|O2|S|H2O|CO2|CH4|NH4|NH3|SO2,1352.275724762295
51 Peg b,51 Peg,1,1,1995,Haute-Provence Observatory,4.230785,0.0527,14.3,146.2018,0.013,,G5V,5758.0,1.18,1.03,0.18,[M/H],4.31,22h57m28.21s,344.3675399,+20d46m08.74s,20.7690958,15.4614,5.45309,3.911,5.28647,*  51 Peg,0.23,0.07,0.16,0.19,0.24,0.22,0.2,0.2,b,4.23,0.0,0.0,0.47,0.0,0.0,O|N|H2O|S,13.864247660361785|55.45699064144714|29.475390525929154|0.7033711722619269,CH4|NH4|NH3|SO2,19510.07227355441
55 Cnc b,55 Cnc,2,5,1996,Lick Observatory,14.6516,0.1134,13.9,263.9785,0.0,700,K0 IV-V,5172.0,0.94,0.91,0.35,[Fe/H],4.43,08h52m35.24s,133.1468373,+28d19m47.34s,28.3298154,12.5855,5.95084,4.015,5.72973,* rho01 Cnc,0.37,0.24,0.33,0.32,0.43,0.43,0.38,0.4,b,14.65,0.03,0.12,0.91,0.0,0.0,O|N|H2O|S|CO2,10.455103978923196|41.820415915692784|22.227551059190713|0.5304159967367209|24.466513049456594,CH4|NH4|NH3|SO2,10666.20671392213
55 Cnc c,55 Cnc,2,5,2004,McDonald Observatory,44.3989,0.2373,8.51,54.4738,0.03,,G8V,5172.0,0.94,0.91,0.35,[Fe/H],4.43,08h52m35.24s,133.1468373,+28d19m47.34s,28.3298154,12.5855,5.95084,4.015,5.72973,* rho01 Cnc,0.37,0.24,0.33,0.32,0.43,0.43,0.38,0.4,c,44.37,0.07,0.24,0.18,0.0,89.7,O|N|H2O|S|CO2,10.455103978923196|41.820415915692784|22.227551059190713|0.5304159967367209|24.466513049456594,CH4|NH4|NH3|SO2,7367.740280225163
55 Cnc d,55 Cnc,2,5,2002,Lick Observatory,5574.2,5.957,13.0,1232.493,0.13,,G8 V,5172.0,0.94,0.91,0.35,[Fe/H],4.43,08h52m35.24s,133.1468373,+28d19m47.34s,28.3298154,12.5855,5.95084,4.015,5.72973,* rho01 Cnc,0.37,0.24,0.33,0.32,0.43,0.43,0.38,0.4,d,4825.0,0.02,5.5,3.88,0.0,90.0,H|He,71|27,H2|He4|N2|C|O2|S|H2O|CO2|CH4|NH4|NH3|SO2,1466.3443134761121
55 Cnc e,55 Cnc,2,5,2004,McDonald Observatory,0.7365474,0.01544,1.875,7.99,0.05,1958,G8 V,5172.0,0.94,0.91,0.35,[Fe/H],4.43,08h52m35.24s,133.1468373,+28d19m47.34s,28.3298154,12.5855,5.95084,4.015,5.72973,* rho01 Cnc,0.37,0.24,0.33,0.32,0.43,0.43,0.38,0.4,e,0.74,0.0,0.0,0.0,0.0,83.6,None,None,None,28868.783933553816
55 Cnc f,55 Cnc,2,5,2007,Multiple Observatories,259.88,0.7708,7.59,44.812,0.08,,G8V,5172.0,0.94,0.91,0.35,[Fe/H],4.43,08h52m35.24s,133.1468373,+28d19m47.34s,28.3298154,12.5855,5.95084,4.015,5.72973,* rho01 Cnc,0.37,0.24,0.33,0.32,0.43,0.43,0.38,0.4,f,261.2,0.32,0.77,0.17,0.0,0.0,O|N|H2O|S|CO2,10.455103978923196|41.820415915692784|22.227551059190713|0.5304159967367209|24.466513049456594,CH4|NH4|NH3|SO2,4082.4479398367826
6 Lyn b,6 Lyn,1,1,2008,Okayama Astrophysical Observatory,919.86,2.028,13.4,597.83523,0.042,,K0 IV,4941.0,4.94,1.32,-0.17,[Fe/H],3.16,06h30m47.05s,97.6960311,+58d09m40.23s,58.1611753,54.6599,5.87307,3.701,5.60686,*   6 Lyn,-0.09,-0.2,0.0,-0.03,-0.08,-0.24,-0.22,-0.08,b,934.3,0.07,2.11,2.01,0.0,0.0,H|He,71|27,H2|He4|N2|C|O2|S|H2O|CO2|CH4|NH4|NH3|SO2,5517.817565112824
61 Vir b,61 Vir,1,3,2009,Multiple Observatories,4.215,0.050201,2.11,5.1,0.12,,G5 V,5577.0,0.96,0.94,-0.01,[Fe/H],4.34,13h18m23.15s,199.596455,-18d18m56.79s,-18.3157745,8.50332,4.6955,2.956,4.54052,*  61 Vir,0.02,0.0,0.03,0.06,0.09,0.01,0.01,0.05,b,4.21,0.1,0.05,0.02,0.0,0.0,None,None,None,17411.654947740073
61 Vir c,61 Vir,1,3,2009,Multiple Observatories,38.021,0.2175,4.46,18.2,0.14,,G5 V,5577.0,0.96,0.94,-0.01,[Fe/H],4.34,13h18m23.15s,199.596455,-18d18m56.79s,-18.3157745,8.50332,4.6955,2.956,4.54052,*  61 Vir,0.02,0.0,0.03,0.06,0.09,0.01,0.01,0.05,c,38.02,0.14,0.22,0.06,0.0,0.0,O|N|H2O|S,13.876905698298444|55.507622793193775|29.50230151458249|0.6131699939253002,CH4|NH4|NH3|SO2,8359.860356085836
61 Vir d,61 Vir,1,3,2009,Multiple Observatories,123.01,0.476,5.11,22.9,0.35,,G5 V,5577.0,0.96,0.94,-0.01,[Fe/H],4.34,13h18m23.15s,199.596455,-18d18m56.79s,-18.3157745,8.50332,4.6955,2.956,4.54052,*  61 Vir,0.02,0.0,0.03,0.06,0.09,0.01,0.01,0.05,d,123.01,0.35,0.48,0.07,0.0,0.0,O|N|H2O|S|CO2,11.415383369998239|45.661533479992954|24.269105044616257|0.504404274541915|17.649573830850624,CH4|NH4|NH3|SO2,5605.874981809002
7 CMa b,7 CMa,1,2,2011,Anglo-Australian Telescope,735.1,1.758,13.4,587.9855,0.06,,K1 III,4826.0,4.87,1.34,0.21,[Fe/H],3.19,06h36m41.11s,99.171276,-19d15m22.25s,-19.2561808,19.8101,3.95,1.564,3.67853,* nu.02 CMa,0.29,-0.12,0.55,0.14,0.3,0.49,0.24,0.24,b,796.0,0.22,1.93,2.46,0.0,0.0,H|He,71|27,H2|He4|N2|C|O2|S|H2O|CO2|CH4|NH4|NH3|SO2,5744.520307442809
7 CMa c,7 CMa,1,2,2019,Multiple Observatories,996.0,2.153,13.9,276.5121,0.08,,K1III(+M),4826.0,4.87,1.34,0.21,[Fe/H],3.19,06h36m41.11s,99.171276,-19d15m22.25s,-19.2561808,19.8101,3.95,1.564,3.67853,* nu.02 CMa,0.29,-0.12,0.55,0.14,0.3,0.49,0.24,0.24,c,996.0,0.08,2.15,0.87,0.0,90.0,H|He,71|27,H2|He4|N2|C|O2|S|H2O|CO2|CH4|NH4|NH3|SO2,5187.986633572266
70 Vir b,70 Vir,1,1,1996,Lick Observatory,116.688,0.481,12.6,2380.45,0.3988,,G5V,5495.0,1.89,1.09,-0.09,[Fe/H],3.95,13h28m25.56s,202.1064898,+13d46m34.71s,13.7763085,17.9011,4.96808,3.5,4.76178,*  70 Vir,-0.02,-0.01,0.02,0.01,0.07,0.06,-0.05,0.02,b,116.69,0.4,0.48,7.42,0.0,0.0,H|He,71|27,H2|He4|N2|C|O2|S|H2O|CO2|CH4|NH4|NH3|SO2,7691.271306053534
75 Cet b,75 Cet,2,2,2012,Okayama Astrophysical Observatory,696.62,1.912,13.3,787.89662,0.093,,G3 III,4809.0,10.38,1.92,0.1,[Fe/H],2.69,02h32m09.40s,38.0391598,-01d02m06.10s,-1.0350269,82.9613,5.3532,3.207,5.09343,*  75 Cet,0.05,0.04,0.58,0.15,0.18,-0.14,0.21,0.06,b,696.62,0.09,1.91,2.48,0.0,0.0,H|He,71|27,H2|He4|N2|C|O2|S|H2O|CO2|CH4|NH4|NH3|SO2,8006.022147385672
75 Cet c,75 Cet,2,2,2023,Okayama Astrophysical Observatory,2051.62,3.929,13.9,289.85951,0.023,,G3 III,4809.0,10.38,1.92,0.1,[Fe/H],2.69,02h32m09.40s,38.0391598,-01d02m06.10s,-1.0350269,82.9613,5.3532,3.207,5.09343,*  75 Cet,0.05,0.04,0.58,0.15,0.18,-0.14,0.21,0.06,c,2051.6,0.02,3.93,0.91,0.0,0.0,H|He,71|27,H2|He4|N2|C|O2|S|H2O|CO2|CH4|NH4|NH3|SO2,5595.6732016036385
8 UMi b,8 UMi,1,1,2015,Bohyunsan Optical Astronomical Observatory,93.4,0.49,13.6,416.3573,0.06,,K0,4847.0,10.3,1.44,-0.03,[Fe/H],2.57,14h56m48.40s,224.201685,+74d54m03.38s,74.9009379,162.552,6.83295,4.515,6.55896,*   8 UMi,-0.2,-0.09,0.0,-0.08,-0.09,-0.6,-0.21,-0.13,b,93.4,0.06,0.49,1.5,0.0,0.0,O|N|H2O|S|CO2,13.017334257720936|52.069337030883744|27.67485263191471|0.660404940886608|6.0780711385940025,CH4|NH4|NH3|SO2,15892.967610132626
81 Cet b,81 Cet,1,1,2008,Okayama Astrophysical Observatory,1005.57,2.104,13.1,1051.05854,0.037,,G5 III,4734.0,11.21,1.23,-0.11,[Fe/H],2.41,02h37m41.85s,39.4243555,-03d23m46.90s,-3.3963607,101.26,5.64307,3.266,5.37588,*  81 Cet,0.01,-0.05,0.5,0.1,0.14,-0.17,0.14,0.07,b,1005.57,0.04,2.1,3.31,0.0,0.0,H|He,71|27,H2|He4|N2|C|O2|S|H2O|CO2|CH4|NH4|NH3|SO2,7819.678316199866
91 Aqr b,91 Aqr,3,1,2013,Lick Observatory,181.4,0.7,13.1,1017.0,0.027,,K0 III,4665.0,11.0,1.4,-0.03,[Fe/H],2.52,23h15m53.88s,348.9745031,-09d05m16.11s,-9.0878076,44.0304,4.23946,1.597,3.95311,* psi01 Aqr,0.07,0.07,0.56,-0.03,0.11,0.0,0.15,0.1,b,181.4,0.03,0.7,3.2,0.0,0.0,H|He,71|27,H2|He4|N2|C|O2|S|H2O|CO2|CH4|NH4|NH3|SO2,13237.127141657435
AB Pic b,AB Pic,1,1,2005,Paranal Observatory,,260.0,12.3,4290.5,0.0765,,K2 V,5285.0,1.0,0.9,0.04,[Fe/H],4.53,06h19m12.94s,94.8039208,-58d03m14.83s,-58.0541184,50.0475,9.13,6.981,8.8378,HD  44627,0.01,-0.01,0.58,0.11,0.35,-0.11,0.24,0.07,b,0.0,0.0,260.0,13.5,0.0,0.0,H|He,71|27,H2|He4|N2|C|O2|S|H2O|CO2|CH4|NH4|NH3|SO2,234.29895909268825
AF Lep b,AF Lep,1,1,2023,Paranal Observatory,8030.0,8.4,13.1,1017.0509,0.24,1400,F8 V,6130.0,1.25,1.2,0.19,[Fe/H],4.4,05h27m04.78s,81.7699216,-11d54m04.23s,-11.9011752,26.8564,6.332,4.926,6.18644,V* AF Lep,0.45,0.33,0.0,0.0,0.0,0.43,0.09,0.67,b,9060.0,0.32,9.3,4.3,0.0,98.0,H|He,71|27,H2|He4|N2|C|O2|S|H2O|CO2|CH4|NH4|NH3|SO2,1681.436500972351
BD+03 2562 b,BD+03 2562,1,1,2017,Multiple Observatories,481.9,1.3,12.7,2034.112,0.2,,-,4095.0,32.35,1.14,-0.71,[Fe/H],1.89,11h50m15.53s,177.5647268,+02d45m36.39s,2.7601075,1070.63,9.577,6.021,8.9977,BD+03  2562,-0.76,-0.34,0.0,-0.72,-0.06,0.0,0.0,-0.41,b,481.9,0.2,1.3,6.4,0.0,0.0,H|He,71|27,H2|He4|N2|C|O2|S|H2O|CO2|CH4|NH4|NH3|SO2,14546.256323469968
BD+15 2375 b,BD+15 2375,1,1,2016,Roque de los Muchachos Observatory,153.22,0.576,13.8,337.21763,0.001,,G5,4649.0,8.95,1.08,-0.22,[Fe/H],2.61,11h45m55.69s,176.4820239,+14d36m58.75s,14.6163182,768.045,10.41,7.718,9.9918,BD+15  2375,-0.27,0.0,0.0,-0.29,-0.05,0.0,0.0,-0.18,b,153.22,0.0,0.58,1.06,0.0,0.0,O|N|H2O|S|CO2,11.465557590920213|45.86223036368085|24.375775438296372|0.47280649859464796|17.323630108507903,CH4|NH4|NH3|SO2,13126.321493852764
BD+15 2940 b,BD+15 2940,1,1,2013,McDonald Observatory,137.48,0.539,13.7,352.78,0.26,,K0,4796.0,14.7,1.1,0.28,[Fe/H],2.8,16h00m22.95s,240.09564,+15d32m48.30s,15.5467507,426.42,9.01,6.525,8.7178,BD+15  2940,-0.33,-0.03,0.0,-0.3,0.01,0.0,0.0,-0.16,b,137.48,0.26,0.54,1.11,0.0,0.0,O|N|H2O|S|CO2,11.320744360526108|45.28297744210443|24.0679025104785|0.5002225209057108|18.328153165985245,CH4|NH4|NH3|SO2,17795.761626386393
BD+20 2457 b,BD+20 2457,1,2,2009,McDonald Observatory,379.63,1.45,12.1,6807.63,0.15,,K2 II,4137.0,49.0,2.8,-1.0,[Fe/H],1.51,10h16m44.83s,154.186782,+19d53m28.55s,19.8912626,1539.71,9.743,6.42,9.22684,BD+20  2457,-0.75,-0.44,0.16,-0.67,-0.48,0.04,-0.51,-0.41,b,379.63,0.15,1.05,55.6,0.0,0.0,H|He,71|27,H2|He4|N2|C|O2|S|H2O|CO2|CH4|NH4|NH3|SO2,17153.5773537809
BD+20 2457 c,BD+20 2457,1,2,2009,McDonald Observatory,621.99,2.01,12.4,3963.17,0.18,,K2 II,4137.0,49.0,2.8,-1.0,[Fe/H],1.51,10h16m44.83s,154.186782,+19d53m28.55s,19.8912626,1539.71,9.743,6.42,9.22684,BD+20  2457,-0.75,-0.44,0.16,-0.67,-0.48,0.04,-0.51,-0.41,c,622.0,0.18,2.01,12.47,0.0,0.0,H|He,71|27,H2|He4|N2|C|O2|S|H2O|CO2|CH4|NH4|NH3|SO2,14555.072728001842
BD+20 274 b,BD+20 274,1,1,2012,McDonald Observatory,578.2,1.3,13.0,1334.886,0.21,,K5 III,4296.0,17.3,0.8,-0.46,[Fe/H],1.99,01h43m40.88s,25.9203179,+21d00m18.97s,21.0052692,1322.51,9.367,6.169,8.91613,BD+20   274,-0.51,-0.35,0.0,-0.54,-0.34,0.0,0.0,-0.48,b,578.2,0.21,1.3,4.2,0.0,0.0,H|He,71|27,H2|He4|N2|C|O2|S|H2O|CO2|CH4|NH4|NH3|SO2,11155.652441846438
BD+48 738 b,BD+48 738,1,1,2011,McDonald Observatory,392.6,1.0,13.9,289.2253,0.2,,K0 III,4414.0,11.0,0.74,-0.2,[Fe/H],2.24,02h42m50.47s,40.7102869,+49d35m12.98s,49.5869395,871.493,9.139,5.904,8.65569,BD+48   738,-0.14,-0.05,0.0,-0.34,-0.22,0.0,-0.12,-0.21,b,392.6,0.2,1.0,0.91,0.0,0.0,O|N|H2O|S|CO2,11.22067689700677|44.88270758802708|23.85515908303639|0.5191672803381975|19.022289151591558,CH4|NH4|NH3|SO2,10424.627252021204
BD+48 740 b,BD+48 740,1,1,2018,Multiple Observatories,733.0,1.7,13.5,540.311,0.76,,K3 III,4534.0,10.33,1.09,-0.13,[Fe/H],2.48,02h42m58.21s,40.7425426,+48d55m48.21s,48.9300579,666.589,8.69,5.645,8.26449,BD+48   740,-0.18,-0.03,0.0,-0.27,-0.17,0.0,0.0,-0.23,b,733.0,0.76,1.7,1.7,0.0,0.0,H|He,71|27,H2|He4|N2|C|O2|S|H2O|CO2|CH4|NH4|NH3|SO2,7651.99473609868
BD+49 828 b,BD+49 828,1,1,2015,McDonald Observatory,2590.0,4.2,13.5,508.5,0.35,,K0,4943.0,7.6,1.52,-0.19,[Fe/H],2.85,03h02m33.75s,45.6406187,+49d43m47.81s,49.7299481,442.042,9.381,6.571,9.02851,BD+49   828,-0.24,-0.12,0.0,-0.21,-0.17,0.0,0.0,-0.18,b,2590.0,0.35,4.2,1.6,0.0,0.0,H|He,71|27,H2|He4|N2|C|O2|S|H2O|CO2|CH4|NH4|NH3|SO2,4706.340934797478
BD-08 2823 b,BD-08 2823,1,2,2009,La Silla Observatory,5.6,0.06,3.61,12.7132,0.15,,K3 V,4816.0,0.71,0.5,-0.06,[Fe/H],4.43,10h00m47.33s,150.1971964,-09d30m59.65s,-9.5165689,41.3342,9.86,7.323,9.50331,BD-08  2823,0,0.0,0.0,0.09,-0.09,-0.12,-0.01,0.2,b,5.6,0.15,0.06,0.04,0.0,0.0,O|N|H2O|S,13.882615912614964|55.53046365045986|29.514441430219414|0.5724790067057718,SO2,11816.671785666957
BD-08 2823 c,BD-08 2823,1,2,2009,La Silla Observatory,237.6,0.68,12.5,104.0,0.19,,K3 V,4746.0,0.72,0.74,-0.07,[Fe/H],4.13,10h00m47.33s,150.1971964,-09d30m59.65s,-9.5165689,41.3342,9.86,7.323,9.50331,BD-08  2823,0,0.0,0.0,0.09,-0.09,-0.12,-0.01,0.2,c,237.6,0.19,0.68,0.33,0.0,0.0,O|N|H2O|S|CO2,11.968638913618049|47.874555654472196|25.445326330351975|0.49355212014919797|13.717926981408581,CH4|NH4|NH3|SO2,3478.7338693224865
BD-10 3166 b,BD-10 3166,1,1,2000,W. M. Keck Observatory,3.48777,0.04,14.1,187.5197,0.02,,K0 V,5393.0,0.91,1.47,0.38,[Fe/H],4.69,10h58m28.59s,164.6191243,-10d46m13.52s,-10.7704227,84.4069,10.013,8.124,9.83981,BD-10  3166,0.42,0.15,0.48,0.35,0.44,0.46,0.38,0.42,b,3.49,0.05,0.05,0.48,0.0,0.0,O|N|H2O|S|CO2,9.661055155221138|38.64422062088455|20.53940326000014|0.8517513264516657|29.8035696374425,CH4|NH4|NH3|SO2,18415.973917776937
BD-13 2130 b,BD-13 2130,1,1,2007,La Silla Observatory,714.29999,1.66,12.5,3108.3774,0.21,,G5 IV/V,4545.0,19.17,2.12,-0.08,[Fe/H],2.2,07h37m09.23s,114.2884692,-13d54m24.01s,-13.9066703,925.214,10.038,7.151,9.69971,BD-13  2130,0.17,0.0,0.0,0.07,0.07,0.0,0.25,0.15,b,714.3,0.21,2.1,10.6,0.0,0.0,H|He,71|27,H2|He4|N2|C|O2|S|H2O|CO2|CH4|NH4|NH3|SO2,10994.366927801402
BD-17 63 b,BD-17 63,1,1,2008,La Silla Observatory,655.57,1.34,12.8,1639.99458,0.5439,,K5 V,4714.0,0.74,0.74,-0.03,[Fe/H],4.26,00h28m33.92s,7.1413494,-16d13m38.37s,-16.2273254,34.4603,9.62,6.914,9.20112,BD-17    63,0.05,0.0,0.0,0.18,0.15,-0.16,0.07,0.32,b,655.6,0.54,1.34,5.1,0.0,0.0,H|He,71|27,H2|He4|N2|C|O2|S|H2O|CO2|CH4|NH4|NH3|SO2,2451.6409528157255
CoRoT-1 b,CoRoT-1,1,1,2008,CoRoT,1.5089557,0.02752,16.7,327.35,0.0,1898,G0 V,5950.0,1.11,0.95,-0.3,[M/H],4.25,06h48m19.17s,102.0798591,-03d06m07.70s,-3.1021394,787.909,13.623,12.149,13.457,CoRoT-1,0.04,-0.13,0.0,0.08,-0.02,0.0,-0.03,0.08,b,1.51,0.07,0.03,1.07,1.42,85.66,O|N|H2O|S|CO2,10.791976046096233|43.16790418438493|22.94374107400059|0.6003288707629713|21.996049824755268,CH4|NH4|NH3|SO2,27067.51092749108
CoRoT-10 b,CoRoT-10,1,1,2010,CoRoT,13.2406,0.1055,10.87,874.0,0.53,600,K1 V,5075.0,0.79,0.89,0.26,[Fe/H],4.65,19h24m15.28s,291.0636813,+00d44m45.65s,0.7460143,338.386,15.293,11.782,14.6645,CoRoT-10,0.27,0.0,0.0,0.11,0.0,0.0,0.22,0.2,b,13.24,0.52,0.11,2.73,0.97,88.55,H|He,71|27,H2|He4|N2|C|O2|S|H2O|CO2|CH4|NH4|NH3|SO2,9728.815845352172
