pl_name,hostname,sy_starnum,sy_planetnum,disc_year,disc_facility,T_orbit,orb_semimajor_AU,R_pl_earths,M_pl_earths,orb_eccentricity,avg_temp,st_spectype,st_teff,st_rad,st_mass,st_met,st_metratio,st_grav_surface,rastr,right_asc,decstr,declination,sy_dist,sy_vmag,sy_kmag,sy_gaiamag,star_id,Fe,O,S,Ca,Mg,C,Si,Ti,planet_letter,T_orbit_right,orb_eccentricity_right,orb_semimajor_AU_right,M_pl_earths_right,R_pl_earths_right,inclination,atm_main_gases,atm_percentages,atm_trace_gases,pl_insolation
HD 159243 c,HD 159243,1,2,2013,Haute-Provence Observatory,248.4,0.8,13.4,603.9,0.075,,G0 V,6123.0,1.12,1.12,0.05,[Fe/H],4.55,17h33m21.49s,263.3395365,+05d42m02.97s,5.7008254,73.3055,8.65,7.297,8.51188,HD 159243,0.18,0.02,-0.1,0.01,0.08,0.08,0.05,0.1,c,248.4,0.07,0.8,1.9,0.0,0.0,H|He,71|27,H2|He4|N2|C|O2|S|H2O|CO2|CH4|NH4|NH3|SO2,5179.1520676134905
HD 159868 b,HD 159868,1,2,2006,Anglo-Australian Telescope,1184.1,2.32,13.3,704.94694,0.024,,G5 V,5534.0,2.13,1.19,-0.08,[Fe/H],3.92,17h38m59.20s,264.7466665,-43d08m46.44s,-43.1462347,55.8503,7.24,5.535,7.04579,HD 159868,-0.04,-0.11,0.0,0.04,0.04,-0.01,-0.02,0.04,b,986.0,0.69,2.0,1.7,0.0,0.0,H|He,71|27,H2|He4|N2|C|O2|S|H2O|CO2|CH4|NH4|NH3|SO2,3795.8899277586947
HD 159868 c,HD 159868,1,2,2012,Anglo-Australian Telescope,351.0,1.032,14.0,244.09344,0.184,,G5 V,5534.0,2.13,1.19,-0.08,[Fe/H],3.92,17h38m59.20s,264.7466665,-43d08m46.44s,-43.1462347,55.8503,7.24,5.535,7.04579,HD 159868,-0.04,-0.11,0.0,0.04,0.04,-0.01,-0.02,0.04,c,352.3,0.15,1.0,0.73,0.0,0.0,O|N|H2O|S|CO2,10.956618339178004|43.826473356712015|23.293770589092432|0.5820560273616014|20.841081687655944,CH4|NH4|NH3|SO2,5664.471573354617
HD 1605 b,HD 1605,1,2,2015,Multiple Observatories,577.2,1.492,13.8,296.85322,0.095,,K1 IV,4915.0,3.49,1.33,0.22,[Fe/H],3.4,00h20m31.62s,5.1317548,+30d58m30.22s,30.9750611,88.8047,7.52,5.272,7.25688,HD   1605,0.24,0.35,0.0,0.0,0.0,0.0,0.0,0.0,b,577.9,0.08,1.48,0.96,0.0,0.0,H|He,71|27,H2|He4|N2|C|O2|S|H2O|CO2|CH4|NH4|NH3|SO2,5370.737224178932
HD 1605 c,HD 1605,1,2,2015,Multiple Observatories,2149.0,3.584,13.0,1150.5446,0.099,,K1 IV,4915.0,3.49,1.33,0.22,[Fe/H],3.4,00h20m31.62s,5.1317548,+30d58m30.22s,30.9750611,88.8047,7.52,5.272,7.25688,HD   1605,0.24,0.35,0.0,0.0,0.0,0.0,0.0,0.0,c,2149.0,0.1,3.58,3.62,0.0,0.0,H|He,71|27,H2|He4|N2|C|O2|S|H2O|CO2|CH4|NH4|NH3|SO2,3464.8438812681316
HD 160691 b,HD 160691,1,4,2000,Anglo-Australian Telescope,645.0,1.5,,1366.66215,0.128,,G3 IV-V,5773.0,1.33,1.13,0.28,[Fe/H],4.2,17h44m08.68s,266.0361585,-51d50m05.55s,-51.8348751,15.5981,5.12,3.683,4.94916,* mu. Ara,0.32,0.24,0.22,0.28,0.36,0.33,0.31,0.32,b,645.0,0.0,0.0,4.3,0.0,60.0,H|He,71|27,H2|He4|N2|C|O2|S|H2O|CO2|CH4|NH4|NH3|SO2,3880.0361859679147
HD 160691 c,HD 160691,1,4,2004,Anglo-Australian Telescope,3947.0,4.17,,1398.44499,0.0985,,G3 IV-V,5773.0,1.33,1.13,0.28,[Fe/H],4.2,17h44m08.68s,266.0361585,-51d50m05.55s,-51.8348751,15.5981,5.12,3.683,4.94916,* mu. Ara,0.32,0.24,0.22,0.28,0.36,0.33,0.31,0.32,c,3947.0,0.0,0.0,4.4,0.0,60.0,H|He,71|27,H2|He4|N2|C|O2|S|H2O|CO2|CH4|NH4|NH3|SO2,2329.1482655202185
HD 160691 d,HD 160691,1,4,2004,La Silla Observatory,9.6392,0.09286,3.17,10.17,0.0,900,G3 IV-V,5773.0,1.33,1.13,0.28,[Fe/H],4.2,17h44m08.68s,266.0361585,-51d50m05.55s,-51.8348751,15.5981,5.12,3.683,4.94916,* mu. Ara,0.32,0.24,0.22,0.28,0.36,0.33,0.31,0.32,d,9.64,0.0,0.0,0.0,0.0,0.0,None,None,None,15649.739713585803
HD 160691 e,HD 160691,1,4,2006,La Silla Observatory,307.9,0.934,,2224.79885,0.0666,,G3 IV-V,5773.0,1.33,1.13,0.28,[Fe/H],4.2,17h44m08.68s,266.0361585,-51d50m05.55s,-51.8348751,15.5981,5.12,3.683,4.94916,* mu. Ara,0.32,0.24,0.22,0.28,0.36,0.33,0.31,0.32,e,307.9,0.0,0.0,7.0,0.0,60.0,H|He,71|27,H2|He4|N2|C|O2|S|H2O|CO2|CH4|NH4|NH3|SO2,4925.907297382288
HD 161178 b,HD 161178,1,1,2021,Okayama Astrophysical Observatory,279.3,0.85,14.1,181.16219,0.044,,G9 III,4786.0,10.95,1.06,-0.21,[Fe/H],2.38,17h37m08.97s,264.2873565,+72d27m21.09s,72.455859,107.188,5.88375,3.657,5.59958,HD 161178,-0.08,-0.07,0.41,-0.08,0.06,-0.22,0.0,-0.09,b,279.3,0.04,0.85,0.57,0.0,0.0,O|N|H2O|S|CO2,11.958862834564664|47.83545133825866|25.42454238628448|1.489286119228672|12.791857321663523,CH4|NH4|NH3|SO2,12290.514497915154
