id,ex,ey,ez,ed,emag
1,7.242092728,12.67619323,-9.589883883,17.46710207,6.061104291
27,267.4390877,12.69919323,200.0581161,334.2277442,6.610212489
41,91.62808773,12.68919323,-117.1858839,149.2958588,8.251238807
43,298.6900877,12.72719323,-259.3138839,395.7542676,8.616128034
82,48.20408773,12.68819323,18.23611612,53.07711609,8.717536589
128,732.6100877,13.01819323,-245.4558839,772.7454982,8.806182418
159,32.85808773,12.69019323,50.56311612,61.6224281,8.807694034
175,266.2560877,12.83619323,182.6731161,323.1509546,8.594027216
177,66.21208773,12.71319323,-82.06788388,106.2111266,8.867850077
182,210.1730877,12.80819323,207.5701161,295.6723351,7.329053456
202,453.4110877,12.99419323,-333.2778839,562.871754,8.475047277
208,390.6090877,12.95519323,-169.1288839,425.8495929,8.855281182
214,582.9800877,13.10819323,-212.5048839,620.6415496,8.604204233
239,195.5720877,12.83419323,290.3121161,350.2774369,8.603060816
242,174.0000877,12.81719323,-10.63888388,174.7955858,7.352652305
254,257.5820877,12.89619323,297.2601161,393.5459571,8.585977276
262,121.2290877,12.77719323,-105.8898839,161.469551,8.321453188
269,183.3560877,12.84019323,129.5161161,224.8527291,6.534490816
282,297.6660877,12.95919323,-220.5428839,370.6915215,8.915063264
323,98.32408773,12.77619323,30.06911612,103.6098889,8.601006041
340,305.9340877,13.02019323,61.90711612,312.4062779,8.828598763
342,289.4060877,13.00319323,30.10211612,291.2577965,7.597387798
368,141.4860877,12.84019323,-165.9518839,218.4564289,8.81682415
369,265.5300877,12.99219323,170.6971161,315.9312109,8.82796266
387,97.93508773,12.79419323,11.86911612,99.47788049,7.711632617
398,371.1380877,13.15619323,629.6951161,731.0489073,8.645732161
416,86.31008773,12.78419323,167.5401161,188.8982725,8.513139931
420,65.48508773,12.75719323,-66.40788388,94.13314897,6.596712935
453,150.6170877,12.88919323,209.9551161,258.7137206,8.558097308
469,172.6760877,12.92819323,-165.8248839,239.754169,8.943830839
520,286.6700877,13.14519323,243.2601161,376.2020991,8.256106073
535,510.5030877,13.53819323,13.92711612,510.8724399,7.660562372
540,118.0530877,12.86819323,-30.05188388,122.4958679,8.281607195
543,62.79908773,12.77319323,18.61811612,66.73465466,6.578757087
561,171.7120877,12.97319323,26.17211612,174.1790013,7.75397898
562,209.8670877,13.04319323,488.2171161,531.5733927,8.103816174
608,90.44708773,12.83919323,-34.54788388,97.6681977,7.714765868
616,151.8930877,12.96319323,78.10411612,171.288667,8.146643148
630,358.1920877,13.39019323,478.8501161,598.1457203,8.688034999
672,83.11108773,12.84119323,31.90611612,89.94636954,8.997918194
681,154.2970877,12.99819323,61.64111612,166.6618478,8.243180963
694,71.24908773,12.82019323,99.33211612,122.913218,6.119992945
720,128.4280877,12.95719323,8.454116117,129.3566181,8.589943265
721,266.8780877,13.27819323,-24.58888388,268.337171,7.978404184
737,315.3800877,13.40019323,-157.3728839,352.7185698,8.638141624
744,281.9260877,13.32419323,-245.7768839,374.2540978,7.380832821
753,306.5160877,13.39219323,851.3891161,904.9833644,8.72620298
787,43.56008773,12.76719323,-57.95688388,73.61713697,6.916894617
791,338.0290877,13.50419323,-3.433883883,338.3161524,8.988613665
816,54.87208773,12.79819323,-216.2298839,223.4504474,8.673906143
876,33.79408773,12.75019323,-71.19388388,79.83217957,7.777889933
891,605.9030877,14.37819323,-7.260883883,606.1171542,8.146782877
943,25.12208773,12.73019323,24.28811612,37.1899139,6.986125865
959,72.68708773,12.87619323,-146.5868839,164.1247197,8.508869986
962,112.8400877,13.00119323,134.8091161,176.2822005,8.828042315
978,131.8050877,13.06419323,-61.61388388,146.0805428,8.69996187
985,240.2020877,13.40819323,-246.0138839,344.0925074,8.34837608
994,133.4380877,13.07619323,117.7281161,178.4281912,6.350317364
1006,240.4840877,13.42719323,-133.1248839,275.2001466,8.170243304
1020,43.35508773,12.79519323,-122.8728839,130.9241238,8.759098381
1067,134.9740877,13.12019323,46.05111612,143.2160924,7.8899591
1082,156.4680877,13.20119323,77.94711612,175.306266,8.358987197
1113,127.8630877,13.11219323,80.58211612,151.7048986,8.275998022
1181,136.1670877,13.17219323,291.9151161,322.3808578,6.862846233
1183,246.8710877,13.59819323,293.5901161,383.8299117,8.73569408
1202,318.5670877,13.88919323,-386.5418839,501.0913361,7.473584469
