HIP,new_RA,new_DE,new_Distance,new_Vmag,new_BTmag,new_VTmag,new_Hpmag
88964,270.6300977,6.601089222,53.2756546,5.806138988,6.246138988,5.849138988,5.888338988
68276,210.106416,22.2709189,150.4559004,5.806394992,5.798394992,5.802394992,5.814594992
16989,54.63584212,-6.30478217,116.8531835,5.806635121,7.045635121,5.904635121,5.968635121
35984,111.822223,52.32453217,353.2810261,5.807193266,7.926193266,5.993193266,5.920893266
25887,83.64248773,-45.86423739,140.2390997,5.807391773,7.562391773,5.953391773,5.961191773
13108,41.9185387,19.50648492,152.256024,5.807439206,7.387439206,5.946439206,5.967639206
86782,264.9638325,53.67752644,129.9796735,5.807512664,5.827512664,5.809512664,5.822712664
36444,114.6268155,-52.35619639,98.46635103,5.808024984,7.097024984,5.921024984,5.970224984
11381,36.08277739,-18.97591804,83.9713118,5.808471778,7.417471778,5.943471778,5.972671778
65247,200.6526372,-52.06355895,1586.611607,5.809055883,5.927055883,5.854055883,5.870955883
11090,34.28133906,45.7296229,47.23907985,5.809085465,6.135085465,5.831085465,5.881785465
52980,163.8468519,-7.538258116,112.8443565,5.809349255,6.004349255,5.823349255,5.860349255
51420,158.328677,39.31665085,235.213888,5.809601264,5.916601264,5.821601264,5.843301264
30666,98.15617784,0.613570672,68.20306644,5.809617133,5.898617133,5.820617133,5.839317133
41621,127.6910843,-44.0044092,487.869853,5.80967075,5.61667075,5.80067075,5.77387075
117880,352.443557,-37.85217398,25.19715213,5.809808717,6.506808717,5.865808717,5.928608717
38159,117.6378559,-46.76897889,585.5571703,5.810091124,5.624091124,5.787091124,5.764691124
108195,321.9420495,-60.38650224,44.24781497,5.810641225,6.267641225,5.851641225,5.897241225
85760,261.1327153,-80.23342935,246.5960963,5.811061252,7.944061252,6.037061252,5.826061252
65595,205.7623237,77.58505721,92.67218549,5.811121363,6.764121363,5.899121363,5.959621363
12239,39.02232609,66.51282775,251.3299896,5.811521523,7.841521523,5.983521523,5.937021523
50448,159.0141755,65.51314519,79.09243622,5.812052703,6.006052703,5.836052703,5.870152703
115280,346.0436175,41.74559323,43.22402071,5.812265517,6.352265517,5.868265517,5.913165517
48748,150.3628556,-32.51758886,145.8778075,5.8124907,7.3734907,5.9454907,5.9760907
57670,179.5671945,35.93307385,72.19426105,5.812817347,6.367817347,5.867817347,5.917617347
105413,319.8052416,7.800410024,325.19442,5.813469007,7.978469007,6.016469007,5.893869007
6502,20.52483196,-30.71511039,269.2802975,5.814353214,7.897353214,5.990353214,5.898353214
68390,211.1232192,-21.73113503,58.55720679,5.814388698,6.374388698,5.867388698,5.919388698
101475,307.059441,47.16534913,149.8737155,5.814775839,5.627775839,5.787775839,5.762975839
18735,60.60200701,22.44856228,43.92770959,5.814818945,6.184818945,5.830818945,5.885018945
418,0.139364531,61.98214892,223.744933,5.814828614,5.718828614,5.797828614,5.796228614
41081,128.9605495,-51.32202029,70.61271639,5.81484508,5.83984508,5.82084508,5.83074508
38267,120.3210441,-49.92567638,76.73972733,5.815229909,7.231229909,5.949229909,5.987629909
45559,140.5777332,-13.39337253,118.6715168,5.815359757,7.172359757,5.938359757,5.971359757
64822,201.2403514,-40.66928915,58.28800123,5.815414617,6.061414617,5.838414617,5.876814617
49363,156.4183112,55.2280333,49.6376194,5.815606582,6.407606582,5.875606582,5.927106582
8544,27.11926073,23.34661419,174.8973782,5.815658174,6.728658174,5.910658174,5.957258174
28011,89.81919893,-3.109683981,91.06551207,5.815717024,7.316717024,5.943717024,5.980917024
75974,232.8067227,63.50749704,101.1214943,5.815717177,7.061717177,5.927717177,5.980317177
61212,191.0038081,-9.440626075,38.26831945,5.815835914,6.253835914,5.856835914,5.902335914
68079,210.0987427,-44.28433685,86.94677177,5.815976749,7.281976749,5.938976749,5.979876749
59309,185.1079144,8.798675571,45.83194297,5.816467771,6.244467771,5.843467771,5.900667771
113137,326.8409635,-69.13505285,23.92457198,5.816503546,6.652503546,5.907503546,5.963003546
31173,99.62084541,34.6120762,84.19200472,5.816777699,6.032777699,5.835777699,5.875177699
35749,111.0603859,-5.483748004,276.8685332,5.816840242,6.231840242,5.858840242,5.900440242
91118,278.2710008,18.71152314,210.0550234,5.816900551,5.819900551,5.814900551,5.824100551
116582,353.6603428,45.05218809,253.4070906,5.817569743,5.742569743,5.817569743,5.800169743
89609,273.9832618,-16.82962763,321.6692986,5.81782103,7.83582103,5.98682103,5.94442103
36812,114.1949018,4.107036936,206.3252297,5.817996878,5.793996878,5.815996878,5.818596878
26396,84.8766845,28.22980735,145.606266,5.818003842,5.761003842,5.848003842,5.800503842
80375,245.6337123,54.89104153,115.9383974,5.818086497,5.810086497,5.815086497,5.821986497
72934,223.8374128,-10.36327407,113.8883189,5.819083506,7.075083506,5.934083506,5.987483506
33094,108.8106063,-24.84945032,23.19604248,5.819548482,6.689548482,5.889548482,5.949748482
35785,112.2768276,56.31806191,145.0167289,5.820136721,5.691136721,5.782136721,5.803736721
99500,297.0189811,62.36957607,51.46171742,5.820423575,6.447423575,5.886423575,5.939123575
59923,186.7382611,30.37889846,56.14613129,5.820447117,6.035447117,5.839447117,5.876647117
45915,142.2993561,57.28441724,148.2925013,5.820876462,7.847876462,6.069876462,5.800276462
20341,65.57277086,0.948830212,140.7188418,5.821038374,7.557038374,5.973038374,5.967638374
76207,233.5105608,-39.653941,507.9741709,5.821539281,7.989539281,6.035539281,5.868339281
16340,52.63374463,48.89129713,266.8601326,5.821574826,5.766574826,5.814574826,5.822374826
31711,111.9065955,-62.1732763,18.62779379,5.821665635,6.578665635,5.913665635,5.953265635
115191,348.865766,42.99056054,167.301884,5.821876518,7.798876518,5.981876518,5.940676518
21604,69.96427428,22.41381555,109.3432611,5.822398864,5.804398864,5.827398864,5.828598864
83367,255.0499244,26.13197306,116.4400309,5.822772884,7.122772884,5.942772884,5.994972884
29379,93.33690273,25.21313651,230.1830383,5.822806073,7.252806073,5.945806073,5.990506073
20271,65.30634801,-7.039143447,229.1428061,5.822917486,5.660917486,5.802917486,5.785817486
46736,145.0016322,-34.32126687,85.93269583,5.822922305,7.503922305,5.963922305,5.978722305
62576,193.4207796,28.31282572,103.2500375,5.822926883,5.879926883,5.823926883,5.846026883
